"param","est","est_med","ci_high","ci_low","asym_recovery_mult"
"Intra-household
symptomatic",0.0375969169133573,0.0397628659841876,0.0658996884572685,0.0152468957670548,0.5
"Intra-household
asymptomatic",0.0265591738988898,0.0288127699639367,0.0758450979165416,0.00619555728230179,0.5
"OR - asmpt/symp",0.698408922292727,0.72237220169868,3.14839989277869,0.133102789303983,0.5
"Extra-household",0.00982548928839756,0.00986323701407134,0.013090665880021,0.00723809353461668,0.5
"Symptomatic
recovery period",2.79466004339628,2.79103424873612,2.97471920977496,2.62506689988546,0.5
"Incubation period",1.20506973616309,1.18989562123443,1.41661186927621,1.08315171426562,0.5
"Probability of symptoms",0.248573004240553,0.246331938558412,0.375853446562263,0.140762934218545,0.5
"Pr_S",0.772675810926748,0.773697920396247,0.725947976156195,0.81347428842104,0.5
"Pr_Ia",0.112550557907629,0.118540287631603,0.00094603427773924,0.224140121033686,0.5
"Pr_Is",0.0080864104622678,0.00459260557402859,1.50694351468667e-05,0.0334562900105843,0.5
"Pr_R",0.0774394081971696,0.0664999937549325,0.000255247207443557,0.195531568143934,0.5
"Pr_E",0.0292478125061856,0.018942950904777,8.84162072022368e-05,0.115680157635156,0.5
"Intra-household
symptomatic",0.0274036509269797,0.0297842540916569,0.0586680797629105,0.0074340078988589,0.8
"Intra-household
asymptomatic",0.0169005648007139,0.0187309142003956,0.0531637235484174,0.00300634288682281,0.8
"OR - asmpt/symp",0.610137868036467,0.629498651739017,2.99761358933424,0.114423460683969,0.8
"Extra-household",0.0101947279450636,0.0102414262539737,0.0134717137901498,0.00745853422018735,0.8
"Symptomatic
recovery period",2.3168910957532,2.31414972444899,2.4692850541462,2.17806475260063,0.8
"Incubation period",1.17405406593281,1.16217854520084,1.34152170224256,1.07414673445134,0.8
"Probability of symptoms",0.317096315517546,0.311991390631239,0.484419291692199,0.184331625237774,0.8
"Pr_S",0.753779349261811,0.753994880955685,0.707397938228369,0.799554192367991,0.8
"Pr_Ia",0.122056644767583,0.124442176299779,0.00130652639041306,0.246075533541543,0.8
"Pr_Is",0.01171069076703,0.00718484091752785,2.65184914323392e-05,0.0470189700979512,0.8
"Pr_R",0.0899955145014616,0.0888105961037963,0.000476015521710019,0.201975402303688,0.8
"Pr_E",0.0224578007021141,0.0134640273984476,2.69724856288008e-05,0.0939034481435043,0.8
"Intra-household
symptomatic",0.0212001225688453,0.0253733143785,0.0510886019501501,0.00267658266587532,1.2
"Intra-household
asymptomatic",0.0122147589669036,0.0141738168338391,0.0418207483446605,0.00146049415610775,1.2
"OR - asmpt/symp",0.570923478383715,0.573950255311363,2.9887117121789,0.103366526061792,1.2
"Extra-household",0.0103380395523445,0.0103856358854262,0.0135419602733994,0.0076400452605533,1.2
"Symptomatic
recovery period",2.14979730896508,2.14824542475489,2.29657895425292,2.0172564747448,1.2
"Incubation period",1.1581592209506,1.147723949291,1.30441179277011,1.0689266511055,1.2
"Probability of symptoms",0.365593456365539,0.360183969025371,0.554135399259545,0.211980038864234,1.2
"Pr_S",0.742185398909847,0.742387782794787,0.695088543893389,0.787796264502366,1.2
"Pr_Ia",0.0728247900056428,0.0680139524200608,0.000624165307700729,0.181627305715247,1.2
"Pr_Is",0.0137958064762642,0.00802529095822305,2.51423752459128e-05,0.0561940482932226,1.2
"Pr_R",0.1482317158864,0.152204910069759,0.0601613273979901,0.218320967431718,1.2
"Pr_E",0.022962288721846,0.0146827337087105,4.34166107898933e-05,0.0821636689944128,1.2
"Intra-household
symptomatic",0.0157869586296643,0.0195375918557472,0.0466565010996396,0.00139628925008116,2
"Intra-household
asymptomatic",0.00842605578524574,0.00997973897394331,0.0322821663924216,0.000856072203950357,2
"OR - asmpt/symp",0.529773058257655,0.543096850833284,2.85946071934683,0.0903922097448354,2
"Extra-household",0.0105501510892837,0.010634036600791,0.0140707020311225,0.00774194632927286,2
"Symptomatic
recovery period",2.05315528827473,2.05085333731391,2.18926247455291,1.93289234451096,2
"Incubation period",1.14520527587469,1.13535082264879,1.27806045290895,1.06419438693793,2
"Probability of symptoms",0.445919691832112,0.441083530961902,0.644760050036447,0.278778637304955,2
"Pr_S",0.732965829048141,0.732595969477924,0.686903681358293,0.779188736557982,2
"Pr_Ia",0.0469206939451678,0.0454925791604264,0.000815024495546535,0.10932607753003,2
"Pr_Is",0.0152795963788499,0.0089959925913118,2.30008823739841e-05,0.060673128897613,2
"Pr_R",0.18512383657421,0.186872442554133,0.128018380137365,0.235195269907546,2
"Pr_E",0.0197100440536316,0.0130638448473713,5.10121093358927e-05,0.0700437980914276,2
