"param","est","est_med","ci_high","ci_low","init"
"Intra-household
symptomatic",0.00717191277548157,0.00965541090274036,0.031508095430982,0.000279389721458205,0.8
"Intra-household
asymptomatic",0.00515616098224623,0.00663430730288064,0.0291690370461091,0.000165382826640693,0.8
"OR - asmpt/symp",0.717481337833267,0.711193007467672,4.12144778193483,0.123104042480045,0.8
"Extra-household",0.010625755800295,0.0106828370251004,0.0136953065400959,0.00811475165797382,0.8
"Recovery period",2.10672531036725,2.10321008515864,2.25506289484539,1.9762973456731,0.8
"Incubation period",1.08073074715832,1.07616934889922,1.14447673444602,1.03926583285805,0.8
"Probability of symptoms",0.669035201291693,0.675423679905422,0.829818991208476,0.476974568795898,0.8
"Pr_S",0.719740446194729,0.720038895767272,0.678313269569396,0.762995556911055,0.8
"Pr_Ia",0.220823896781506,0.228278524932176,0.107271748979484,0.292822546057709,0.8
"Pr_Is",0.0111602740289783,0.00650321844200363,2.40738463864277e-05,0.0451905836082438,0.8
"Pr_R",0.0382091279030382,0.0269311963472542,7.0229743971064e-05,0.134009923029065,0.8
"Pr_E",0.0100662550917484,0.00586974196797175,1.41145324301199e-05,0.0414055030643367,0.8
"Intra-household
symptomatic",0.0139571683471658,0.0174767282282121,0.0450862520976878,0.000812110637428543,0.85
"Intra-household
asymptomatic",0.00961403191994789,0.0118153904538577,0.0406399294754481,0.000577234091240085,0.85
"OR - asmpt/symp",0.685803258823251,0.68732771846319,3.47638229966391,0.12380914384117,0.85
"Extra-household",0.0104902967851375,0.0105324748390186,0.0137829770530932,0.00783658361451963,0.85
"Recovery period",2.16924121229511,2.16671327307292,2.32180176569228,2.03535021255534,0.85
"Incubation period",1.11226414500344,1.10647096028082,1.20916947463591,1.05201170694341,0.85
"Probability of symptoms",0.491080486913404,0.490674513698542,0.697628564452073,0.297041434561471,0.85
"Pr_S",0.734180088966538,0.734145210666919,0.684789477103431,0.781366492983565,0.85
"Pr_Ia",0.160117740025235,0.166235622042861,0.0130385569579047,0.271544337029568,0.85
"Pr_Is",0.0120383970646071,0.00711526592257191,1.8542660674687e-05,0.04980623856027,0.85
"Pr_R",0.0786812665740911,0.0756958345891459,0.000524396938608724,0.187128952785116,0.85
"Pr_E",0.0149825073695293,0.00830575397497362,3.1341128974716e-05,0.0637671844267522,0.85
"Intra-household
symptomatic",0.0261530648976766,0.0301856015337083,0.0587879859780566,0.00544269485903457,0.95
"Intra-household
asymptomatic",0.0144851085027893,0.0161472464717463,0.0467413072149741,0.00224872137576867,0.95
"OR - asmpt/symp",0.547301542280971,0.553890637415687,2.75808537439033,0.102983238805299,0.95
"Extra-household",0.0101561757209572,0.0102173600519365,0.0134633903457101,0.00732715297001244,0.95
"Recovery period",2.22197320918519,2.21912487964674,2.36719821764788,2.08906207342518,0.95
"Incubation period",1.27905208270311,1.25435023291014,1.59703608906837,1.10922910443025,0.95
"Probability of symptoms",0.266015026927899,0.261942255093658,0.406741777307623,0.148780426955932,0.95
"Pr_S",0.748517568782295,0.748849122083645,0.696584782403468,0.796228626228457,0.95
"Pr_Ia",0.0662538525500119,0.0545407389445373,0.000224495930121538,0.199261965563858,0.95
"Pr_Is",0.0153688779286315,0.0106826460336633,4.38766343513202e-05,0.0562125573653606,0.95
"Pr_R",0.14007481499939,0.145503902949875,0.0339108871603568,0.212402294002171,0.95
"Pr_E",0.0297848857396718,0.0215950501185832,5.33387936280633e-05,0.10419337747607,0.95
