"param","est","est_med","ci_high","ci_low"
"Intra-household
symptomatic",0.0230496825030099,0.0263762177624798,0.0555825599018152,0.0041600342051377
"Intra-household
asymptomatic",0.0139025457077992,0.0157183872551017,0.0453681749440787,0.00202969123487178
"OR - asmpt/symp",0.597560696428059,0.600727520983225,3.23257687641951,0.11250792611309
"Extra-household",0.0102851683362007,0.0103328117134234,0.0136097620632776,0.00749704360762308
"Recovery period",0.453635031798509,0.453739473185806,0.482783110380779,0.424376522345491
"Incubation period",0.860391370900824,0.865390054186771,0.934273159102983,0.75512191313172
"Probability of symptoms",0.346579634854162,0.340498655757257,0.529714799449362,0.204421165087249
"Pr_S",0.745869135601611,0.74649370875859,0.698337857489834,0.792690395881519
"Pr_Ia",0.097802724371028,0.0905465071584311,0.000764920806331314,0.237352305513152
"Pr_Is",0.0132689725363359,0.00787334733434291,2.05376549696099e-05,0.0538036937016871
"Pr_R",0.121201509146935,0.128610622322485,0.00610288272863931,0.207757017359146
"Pr_E",0.0218576583440897,0.013738491063714,3.62222214331446e-05,0.0839927620208151
