"param","est","est_med","ci_high","ci_low","phi"
"Intra-household
symptomatic",0.0127990398518846,0.0155118791174711,0.0379807476617607,0.0012898580927024,0.05
"Intra-household
asymptomatic",0.00876215412924218,0.0102156390129471,0.0392658866321886,0.000775005029328164,0.05
"OR - asmpt/symp",0.681806584114233,0.682732592579896,4.02238781270771,0.119589769726268,0.05
"Extra-household",0.0110072881982449,0.0110440394657075,0.0142686423574922,0.0083045957149925,0.05
"Recovery period",2.19622306619617,2.19459387964027,2.33558896064807,2.0669721756444,0.05
"Incubation period",1.15117772856006,1.14133850771024,1.29615504598505,1.06571308856088,0.05
"Probability of symptoms",0.714837698481289,0.720697418826048,0.851961579000214,0.547756855764604,0.05
"Pr_S",0.733496753552368,0.733456641041816,0.690122578210979,0.77719894160116,0.05
"Pr_Ia",0.171455298508857,0.175314676831293,0.0648121093569754,0.260088076563248,0.05
"Pr_Is",0.0188733192472588,0.0124265996304639,4.61597830736977e-05,0.0699981951583225,0.05
"Pr_R",0.0606976960010452,0.0558850103809569,0.000215905466580834,0.154056634119126,0.05
"Pr_E",0.0154769326904709,0.0104488542697521,3.91264085275042e-05,0.0560580922968196,0.05
"Intra-household
symptomatic",0.0196015473843775,0.0222098681814319,0.0512791567471247,0.00318494586156298,0.1
"Intra-household
asymptomatic",0.0124434121740658,0.0140577470504862,0.0441377484715027,0.00176220794088494,0.1
"OR - asmpt/symp",0.630216481614616,0.631869475391559,3.1821910363001,0.132339220759499,0.1
"Extra-household",0.0104238120674383,0.0104698731380842,0.0135391391646583,0.00773671019877604,0.1
"Recovery period",2.19855465766623,2.19527711615894,2.34593721685736,2.06776058371583,0.1
"Incubation period",1.16173326219879,1.15130481192303,1.31402693057729,1.06735586993338,0.1
"Probability of symptoms",0.470937824121822,0.467154357288057,0.661657186242912,0.303625835327171,0.1
"Pr_S",0.741841283142612,0.741587223549161,0.694719190266648,0.788493944535154,0.1
"Pr_Ia",0.124239148524488,0.124128527002257,0.0038818394449312,0.247646479295275,0.1
"Pr_Is",0.0139286973737571,0.00838727002577744,1.07719018656394e-05,0.0547669360471769,0.1
"Pr_R",0.101178232762853,0.103449389894418,0.00386439265417378,0.196701961647274,0.1
"Pr_E",0.0188126381962903,0.0112079427763106,2.93681272455933e-05,0.0748455296003605,0.1
"Intra-household
symptomatic",0.0256293452164891,0.0284636506897335,0.0565450690388164,0.00585470296265738,0.15
"Intra-household
asymptomatic",0.015237675086163,0.0167864395847595,0.0466258311653884,0.00271850502209532,0.15
"OR - asmpt/symp",0.588266298777984,0.598133645595756,2.79562423766222,0.115159938767128,0.15
"Extra-household",0.0102363120837168,0.010298506957087,0.0134455029325954,0.00751072675768647,0.15
"Recovery period",2.21008777735374,2.20843545260848,2.35691148919174,2.07421650249545,0.15
"Incubation period",1.16029819478864,1.14937318728764,1.31425771192644,1.07097362000593,0.15
"Probability of symptoms",0.280206657599911,0.275646116371325,0.444390794773995,0.144670110635587,0.15
"Pr_S",0.748311517836161,0.748330694910351,0.699773439715777,0.794169352814892,0.15
"Pr_Ia",0.0830118864631021,0.0737552773284111,0.000709305878477064,0.221840191772682,0.15
"Pr_Is",0.013547590549525,0.00904302914953152,2.91212624894828e-05,0.0501233573947229,0.15
"Pr_R",0.131461351062356,0.136961299006575,0.0197034416010572,0.211414819502345,0.15
"Pr_E",0.0236676540888566,0.0150048557946919,3.31690885247593e-05,0.0889157076391583,0.15
"Intra-household
symptomatic",0.0271740954146822,0.0302538012596191,0.0590945534361042,0.00681664086766323,0.2
"Intra-household
asymptomatic",0.0164717419507375,0.0179882996926534,0.0472682633152781,0.00350561305188409,0.2
"OR - asmpt/symp",0.599560092899663,0.605269870307293,2.91098745907002,0.12829898596982,0.2
"Extra-household",0.0102561808732181,0.0103576827259721,0.0135715200396057,0.00739125385195965,0.2
"Recovery period",2.22481559438672,2.22290065819292,2.37036701872301,2.08704824564998,0.2
"Incubation period",1.14937188288606,1.14003219587291,1.289836400959,1.06604941338876,0.2
"Probability of symptoms",0.154495200425964,0.152066546353797,0.282133376397286,0.0450875343741841,0.2
"Pr_S",0.750113819873764,0.750319725003008,0.701923437593814,0.796191405493558,0.2
"Pr_Ia",0.0625311606412921,0.0483135721493563,0.000101555524631179,0.201890525757014,0.2
"Pr_Is",0.0148405677814264,0.0104721743941156,3.5955210600124e-05,0.0518462183357263,0.2
"Pr_R",0.14463709318609,0.150945525555047,0.0350683140133472,0.216098598533754,0.2
"Pr_E",0.0278773585174276,0.0188143395732868,7.25488004078893e-05,0.101550184027974,0.2
