"param","est","est_med","ci_high","ci_low","vib"
"Intra-household
symptomatic",0.0316572287510259,0.0356334580984458,0.0667765545486877,0.00856236941430313,160
"Intra-household
asymptomatic",0.0218029775283373,0.0240984743278256,0.0685901440163195,0.00386431408658633,160
"OR - asmpt/symp",0.681782251244012,0.697678168416751,3.25230871550456,0.13486650553706,160
"Extra-household",0.0126304270135456,0.0127469093539928,0.0168232551014433,0.00910484011029566,160
"Recovery period",2.20303639646947,2.19955223070819,2.34900649612865,2.06742332202347,160
"Incubation period",1.16464721005703,1.15326539259905,1.32131362541943,1.07076357027033,160
"Probability of symptoms",0.358754631249487,0.35465427864596,0.526438745195939,0.211911634877392,160
"Pr_S",0.617483243997179,0.61756978280641,0.569000247449039,0.664778510276484,160
"Pr_Ia",0.0587307346634635,0.0475697438145036,0.000160940147062047,0.175772191447053,160
"Pr_Is",0.0108039411535879,0.00602441866004888,1.22350232686499e-05,0.0449279764475466,160
"Pr_R",0.296061305275526,0.30155072901097,0.1938458941362,0.370167824498515,160
"Pr_E",0.0169207749102435,0.00932817883910858,1.21575206307512e-05,0.0700656474879815,160
"Intra-household
symptomatic",0.0323629701888056,0.0336820602404174,0.0577350355800473,0.0141136366299226,640
"Intra-household
asymptomatic",0.0172063860255603,0.0186955907195458,0.0460319542995482,0.00382305960550462,640
"OR - asmpt/symp",0.523469572586834,0.544311126129321,2.16289116329843,0.11108840582037,640
"Extra-household",0.00689507716728179,0.00695059479146975,0.00935646803021923,0.00477666022296394,640
"Recovery period",2.2212814411006,2.21892760441643,2.37010029671435,2.08299270687719,640
"Incubation period",1.17392042267553,1.16132639828783,1.33387000526349,1.0754052136451,640
"Probability of symptoms",0.320895499627235,0.31856896471671,0.47445504415817,0.190821452425782,640
"Pr_S",0.851107788317107,0.851277333895302,0.810521393768349,0.891298937429363,640
"Pr_Ia",0.0724939542942469,0.0750689934738765,0.000613014319889537,0.151935228935511,640
"Pr_Is",0.0118975739764021,0.00710853623724788,1.38731743960417e-05,0.0468293310865549,640
"Pr_R",0.0402018554715576,0.0362768948558999,0.000125204526854448,0.105508120297271,640
"Pr_E",0.0242988279406861,0.0160888975090485,3.70556185338105e-05,0.088884789758497,640
"Intra-household
symptomatic",0.0402060711861753,0.0416742631056421,0.0624659698728409,0.0216085458020442,1280
"Intra-household
asymptomatic",0.0188703686461314,0.0203542204215031,0.0474516714694438,0.0050687140931245,1280
"OR - asmpt/symp",0.459134950457709,0.47601100442407,1.54317537143689,0.105973371376327,1280
"Extra-household",0.00487096838584215,0.00490531929164253,0.00693850326872924,0.00322932254862212,1280
"Recovery period",2.2365979936624,2.23269666880762,2.39329043646164,2.10205238731691,1280
"Incubation period",1.19270460544231,1.17919157675322,1.38315962906801,1.08193661156193,1280
"Probability of symptoms",0.309265498473915,0.307920874173327,0.435189575202959,0.189523436877785,1280
"Pr_S",0.91589246221107,0.916759119850965,0.878006387851962,0.948390205529735,1280
"Pr_Ia",0.0298045852623276,0.0256062658670099,0.000128782102915933,0.0813358916646889,1280
"Pr_Is",0.0113362235977842,0.00676086350920115,9.14060580796964e-06,0.0459297682796547,1280
"Pr_R",0.0185294255826076,0.0146244338720346,4.06903198538358e-05,0.0566854157065862,1280
"Pr_E",0.0244373033462103,0.016974829747236,4.00504011133299e-05,0.0821800829301965,1280
