"param","est","est_med","ci_high","ci_low","param_type","snum"
"Intra-household
symptomatic",0.0554812100959537,0.0595010325046319,0.0889160746083437,0.0278655328179905,"Infection probability",1
"Intra-household
asymptomatic",0.0223399543599532,0.024524208776639,0.05621471104837,0.00568007251495348,"Infection probability",1
"OR - asmpt/symp",0.389008500591879,0.406753165224682,1.19534818376196,0.0977140571948654,"OR - asmpt/symp",1
"Extra-household",0.00832438065456848,0.00844463462065982,0.0114840466200866,0.00554178686953368,"Infection probability",1
"Recovery period",2.00277616307645,2.00043004293758,2.10624841026189,1.90875480966412,"Recovery period",1
"Incubation period",1.53936100135964,1.50178145369354,2.08699931277023,1.22590942389672,"Incubation period",1
"Probability of symptoms",0.372130926497855,0.371313588924358,0.478029447454193,0.273038729796579,"Probability of symptoms",1
"Pr_S",0.396340759860645,0.396590801685575,0.355898735839738,0.435120270583051,"Initial probability",1
"Pr_Ia",0.0479699312125943,0.0457958230531266,0.000258227963713053,0.113329143491771,"Initial probability",1
"Pr_Is",0.0348319720166615,0.0342228041413464,0.000455798911506109,0.077831262164496,"Initial probability",1
"Pr_R",0.4459622861285,0.447593295273666,0.388842330588176,0.496238962708461,"Initial probability",1
"Pr_E",0.0748950507815988,0.0791767680178394,0.00229029167278852,0.138142831849009,"Pr_E",1
"Intra-household
symptomatic",0.0428728068126306,0.0440608525582905,0.0675805956279646,0.0229595794652247,"Infection probability",2
"Intra-household
asymptomatic",0.0213891135103917,0.023277499749512,0.060527464536632,0.00478513205441452,"Infection probability",2
"OR - asmpt/symp",0.487944560320341,0.511898211947371,1.7787987692307,0.106090930766963,"OR - asmpt/symp",2
"Extra-household",0.00826253698102078,0.00834739713410407,0.0113643487631226,0.00575506317100996,"Infection probability",2
"Recovery period",1.99180898358392,1.98960624641214,2.09675317457,1.8977277024145,"Recovery period",2
"Incubation period",1.53528296181395,1.50741643786819,1.99022208456872,1.22869054178912,"Incubation period",2
"Probability of symptoms",0.431660876260116,0.430784205238491,0.537325373844775,0.332365221786821,"Probability of symptoms",2
"Pr_S",0.393064552080445,0.393038155140981,0.358207097669646,0.429466601060648,"Initial probability",2
"Pr_Ia",0.0284109284976245,0.0225419039493274,6.80671321242685e-05,0.0860639903710824,"Initial probability",2
"Pr_Is",0.0492388034009084,0.0503506246091063,0.00173641542800766,0.0956347314955148,"Initial probability",2
"Pr_R",0.449949485330461,0.451814375966331,0.394111998058081,0.49547749568411,"Initial probability",2
"Pr_E",0.0793362306905609,0.0833616538753118,0.00702977968514549,0.130216349614589,"Pr_E",2
"Intra-household
symptomatic",0.0483973988417892,0.0499608774358393,0.0752586098169485,0.0258885888660534,"Infection probability",3
"Intra-household
asymptomatic",0.0393099851713184,0.042079498300721,0.0809279571573067,0.0128882227738427,"Infection probability",3
"OR - asmpt/symp",0.804550303402899,0.843947735197938,2.30566156437827,0.225708351835792,"OR - asmpt/symp",3
"Extra-household",0.0098109780691351,0.00986831173892184,0.0129176729643495,0.00712125587518988,"Infection probability",3
"Recovery period",1.94879813107587,1.94817376909247,2.05295785168845,1.85185939093591,"Recovery period",3
"Incubation period",1.37771588023864,1.36056298365509,1.6975687502891,1.16442814435384,"Incubation period",3
"Probability of symptoms",0.370979544767751,0.371474364867952,0.471576282702217,0.272255762383512,"Probability of symptoms",3
"Pr_S",0.429869704069261,0.430223899461093,0.392911688730798,0.465549390273561,"Initial probability",3
"Pr_Ia",0.029934464566551,0.0204156877820655,5.3844864216563e-05,0.100586019199584,"Initial probability",3
"Pr_Is",0.0316078276569341,0.0300794777090598,0.000275266717286439,0.0744000402046988,"Initial probability",3
"Pr_R",0.434558873427635,0.438419100838364,0.372132862186244,0.477562849020559,"Initial probability",3
"Pr_E",0.0740291302796192,0.0804496464700536,0.00440750667470114,0.125796474922519,"Pr_E",3
"Intra-household
symptomatic",0.0621858004905191,0.0632012435586639,0.0849972830390171,0.0414143569409871,"Infection probability",4
"Intra-household
asymptomatic",0.0202769411491493,0.0217175382844553,0.0526272437560079,0.00539426226230205,"Infection probability",4
"OR - asmpt/symp",0.312122219038034,0.327942236295776,0.972501069141771,0.0757535120239105,"OR - asmpt/symp",4
"Extra-household",0.00875346575601298,0.0087938364017568,0.0114986624605944,0.00645616680448226,"Infection probability",4
"Recovery period",2.00004683958627,1.9988678735477,2.09810238879308,1.90211946206593,"Recovery period",4
"Incubation period",1.54160535436225,1.51234481683903,2.0649296901958,1.21264166629658,"Incubation period",4
"Probability of symptoms",0.338682572949316,0.337474878813413,0.435156793241567,0.248345394642214,"Probability of symptoms",4
"Pr_S",0.461283350197004,0.46170134705844,0.428910644343133,0.490532642140486,"Initial probability",4
"Pr_Ia",0.0673678445693167,0.06979821932782,0.0190248107066255,0.108445547815428,"Initial probability",4
"Pr_Is",0.0542902903853386,0.0554010886379668,0.0227961819733476,0.0816608249521662,"Initial probability",4
"Pr_R",0.393147453564033,0.392474673254977,0.350585986621342,0.438640666044097,"Initial probability",4
"Pr_E",0.0239110612843079,0.0166720518683133,2.89048841490405e-05,0.0798852504100955,"Pr_E",4
"Intra-household
symptomatic",0.0400344787746803,0.0415355180140825,0.0644004852116184,0.0204588750857404,"Infection probability",5
"Intra-household
asymptomatic",0.0456257963944925,0.0486558863742273,0.0872518473636553,0.0160860735213014,"Infection probability",5
"OR - asmpt/symp",1.14633940766943,1.17209967794491,3.38833428099134,0.325872244575173,"OR - asmpt/symp",5
"Extra-household",0.00982494395497786,0.00990719385513591,0.0127993877018036,0.0072573567498528,"Infection probability",5
